type,title,person,year,month,day,count,notes,Relevant Link
Champion,Proposal,Andre,,,,,,
Champion,Proposal,Andre,,,,,,
Other,,Andre,,,,,,
Other,Left in a Huff,Andre,,,,,,
Winner’s Cup,Crystal Cup,Andre,,,,,,
Other,Agoraphobe,Antimatter,,,,,,
Fugitive,Fugitive,Antimatter,,,,,,
Service Award,Three Months,aranea,,,,,,
Service Award,Six Months,aranea,,,,,,
Service Award,Nine Months,aranea,,,,,,
Other,Unchampion,aranea,,,,,,
Champion,Apathy,Aris,,,,,,
Champion,Politics,Aris,,,,,,
Champion,Proposal,Aris,2021,6,13,,,
Champion,Tournament,Aris,,,,,,
Service Award,Three Months,Aris,,,,,,
Service Award,Six Months,Aris,,,,,,
Service Award,Nine Months,Aris,,,,,,
Service Award,Twelve Months,Aris,,,,,,
Degree,Associate of Nomic Artistry,Aris,,,,,,
Badge,Badge of the Great Agoran Revival,Aris,2017,5,,,,
Badge,Badge of the Salted Earth ,Aris,2018,,,,,
Badge,Badge of Diplonomic,Aris,2020,,,,,
Other,Most Popular,Aris,,,,,,
Other,Popular,Aris,,,,,,
Other,Rulebender,Aris,,,,,,
Other,Very Popular,Aris,,,,,,
Silver Quill,Silver Quill,Aris,2020,,,,P8514,
Champion,Tournament,ATMunn,,,,,,
Service Award,Three Months,ATMunn,,,,,,
Badge,Badge of the Salted Earth ,ATMunn,2018,,,,,
Badge,Badge of Diplonomic,ATMunn,2020,,,,,
Other,Popular,ATMunn,,,,,,
Other,Popular Philanthropist,ATMunn,,,,,,
Champion,Apathy,babelian,,,,,,
Champion,Apathy,Bayushi,,,,,,
Fugitive,Fugitive,Beefurabi,,,,,,
Badge,Badge of Diplonomic,Ben,2020,,,,,
Other,Agoraphobe,BethMo,,,,,,
Fugitive,Fugitive,Blaise,,,,,,
Champion,Unspecified,Blob,,,,,,
Badge,Agora XX,Blob,2013,7,,,,
Winner’s Cup,Tin Cup,Blob,,,,,,
Fugitive,Fugitive,Blob,,,,,,
Other,Agoraphobe,Blue,,,,,,
Champion,High Score,BobTHJ,,,,,,
Champion,Paradox,BobTHJ,,,,,,
Champion,Paradox,BobTHJ,,,,,,
Champion,Proposal,BobTHJ,,,,,,
Service Award,Three Months,BobTHJ,,,,,,
Other,Came Back in a Puff,BobTHJ,,,,,,
Other,Left in a Huff,BobTHJ,,,,,,
Champion,Paradox,Bucky,,,,,,
Champion,Paradox,Bucky,,,,,,
Champion,Proposal,Bucky,,,,,,
Fugitive,Fugitive,Cainech,,,,,,
Champion,Proposal,Canada,,,,,,
Champion,Champion*(3/2),Chuck,,,,,,
Champion,Champion*(4/3),Chuck,,,,,,
Champion,Champion*(7/6),Chuck,,,,,,
Champion,Unspecified,Chuck,,,,,,
Badge,Agora XX,Chuck,2013,7,,,,
Other,Entrepreneur,Chuck,,,,,,
Other,Originator,Chuck,,,,,,
Winner’s Cup,Crystal Cup,Chuck,,,,,,
Frozen Ephemera,Zeitgeist,Chuck,,,,,P3848,
Hero,Grand Hero,Chuck Carroll,,,,,,
Badge,Badge of Diplonomic,Claire,2020,,,,,
Badge,Badge of the Salted Earth ,Corona,2018,,,,,
Champion,Maniac,Craig,,,,,,
Other,Maniac,Craig,,,,,,
Other,Boor,Crito,,,,,,
Winner’s Cup,Supreme Cup,Crito,,,,,,
Champion,Economic Takeover,Cuddlebeam,2021,3,6,,,
Champion,High Score,Cuddlebeam,,,,,,
Champion,Proposal,Cuddlebeam,,,,,,
Degree,Associate of Nomic Artistry,Cuddlebeam,,,,,,
Badge,Badge of the Great Agoran Revival,Cuddlebeam,2017,5,,,,
Other,Popular,Cuddlebeam,,,,,,
Other,Rulebender,Cuddlebeam,,,,,,
Other,Popular,cuddlybanana,,,,,,
Champion,Apathy,D. Margaux,,,,,,
Champion,Politics,D. Margaux,,,,,,
Champion,Politics,D. Margaux,,,,,,
Champion,Proposal,D. Margaux,,,,501,check if these were all at once,
Badge,Badge of the Salted Earth ,D. Margaux,2018,,,,,
Champion,Unspecified,Dave Bowen,,,,,,
Winner’s Cup,Paper Cup,Dave Bowen,,,,,,
Other,Elder Lurker,David Nicol,,,,,,
Hero,Grand Hero,Douglas Hofstadter,,,,,,
Badge,Coming of Age,Droowl,2011,7,,,,
Champion,Paradox,ehird,,,,,,
Badge,Coming of Age,ehird,2011,7,,,,
Badge,Agora XX,ehird,2013,7,,,,
Other,Plagiarist,ehird,,,,,,
Other,Scamster,ehird,,,,,,
Fugitive,Fugitive,Elde,,,,,,
Champion,Champion*(7/6),elJefe,,,,,,
Champion,Unspecified,elJefe,,,,,,
Degree,Baccalaureate of Nomic,elJefe,,,,,,
Other,Boor,elJefe,,,,,,
Winner’s Cup,Glass Cup,elJefe,,,,,,
Fugitive,Fugitive,elJefe,,,,,,
Champion,High Score,Elysion,,,,,,
Other,Bard,Elysion,,,,,,
Fugitive,Fugitive,Elysion,,,,,,
Fugitive,Fugitive,Evantine,,,,,,
Champion,Economic Takeover,Falsifian,2021,6,4,,,
Champion,Gauntlet,Falsifian,2021,5,30,,,
Champion,High Score,Falsifian,,,,,,
Champion,Spaaace,Falsifian,,,,,,
Service Award,Three Months,Falsifian,,,,,,
Service Award,Six Months,Falsifian,,,,,,
Service Award,Nine Months,Falsifian,,,,,,
Service Award,Twelve Months,Falsifian,,,,,,
Degree,Juris Doctorate of Nomic,Falsifian,,,,,,
Badge,Badge of Diplonomic,Falsifian,2020,,,,,
Other,Hard Labor,Falsifian,,,,,Registrar and Treasuror,
Other,MacGyver,Falsifian,,,,,,
Other,Rulebender,Falsifian,,,,,,
Employee of the Year,Employee of the Year,Falsifian,2019,,,,,
Wooden Gavel,Wooden Gavel,Falsifian,2019,,,,CFJs 3726-3727,
Champion,Unspecified,favor,,,,,,
Degree,Baccalaureate of Nomic,favor,,,,,,
Winner’s Cup,Paper Cup,favor,,,,,,
Badge,Agora XX,Fool,2013,7,,,,
Badge,Agora XX,FSX,2013,7,,,,
Champion,Cards,G.,,,,,,
Champion,Election,G.,,,,,,
Champion,High Score,G.,,,,,,
Champion,High Score,G.,,,,,,
Champion,Junta,G.,,,,,,
Champion,Paradox,G.,2021,4,11,,day e did so,
Champion,Paradox,G.,,,,,,
Champion,Proposal,G.,,,,,,
Champion,Proposal,G.,,,,,,
Champion,Renaissance,G.,,,,,,
Champion,Renaissance,G.,,,,,,
Champion,Renaissance,G.,,,,,,
Champion,Rulebending,G.,,,,,,
Champion,Tournament,G.,,,,,,
Service Award,Three Months,G.,,,,,,
Service Award,Six Months,G.,,,,,,
Service Award,Nine Months,G.,,,,,,
Service Award,Twelve Months,G.,,,,,,
Badge,Coming of Age,G.,2011,7,,,,
Hero,Hero,G.,,,,,,
Degree,Associate of Nomic,G.,,,,,,
Degree,Juris Doctorate of Nomic,G.,,,,,,
Badge,Agora XX,G.,2013,7,,,,
Badge,Order of the Lemming,G.,2014,1,,,,
Badge,Badge of the Great Agoran Revival,G.,2017,5,,,,
Badge,Badge of the Salted Earth ,G.,2018,,,,,
Badge,Badge of Diplonomic,G.,2020,,,,,
Other,Admiral,G.,,,,,,
Other,Bard,G.,,,,,,
Other,Cassandra,G.,,,,,,
Other,Desultory Dictator,G.,,,,,,
Other,First violin,G.,,,,,,
Other,Hard Labor,G.,,,,,Arbitor and Herald,
Other,Left in a Huff,G.,,,,,,
Other,Popular,G.,,,,,,
Other,Rulebender,G.,,,,,,
Other,Scamster,G.,,,,,,
Silver Quill,Silver Quill,G.,2019,,,,P8167,
Tapecutter,Tapecutter,G.,2020,6,,,P8407,
Frozen Ephemera,Pugachev,G.,,,,,,
Frozen Ephemera,Robespierre,G.,,,,,,
Champion,Apathy,Gaelan,,,,,,
Champion,Apathy,Gaelan,,,,,,
Champion,Paradox,Gaelan,2021,6,12,,,
Badge,Badge of the Great Agoran Revival,Gaelan,2017,5,,,,
Badge,Badge of the Salted Earth ,Gaelan,2018,,,,,
Other,Little Ricky Tables,Gaelan,,,,,,
Other,Rulebender,Gaelan,,,,,,
Other,Too Intense,Gaelan,,,,,,
Champion,Unspecified,Garth,,,,,,
Winner’s Cup,Paper Cup,Garth,,,,,,
Other,Left in a Huff,Geko,,,,,,
Champion,Unspecified,General Chaos,,,,,,
Other,Boor,General Chaos,,,,,,
Winner’s Cup,Gold Cup,General Chaos,,,,,,
Badge,Coming of Age,Gondolier,2011,7,,,,
Champion,Apathy,grok,,,,,,
Champion,Tournament,grok,,,,,,
Badge,Badge of the Great Agoran Revival,grok,2017,5,,,,
Winner’s Cup,Paper Cup,Harlequin,,,,,,
Badge,Order of the Lemming,Henri,2014,1,,,,
Champion,Proposal,Human Point Two,,,,,,
Service Award,Three Months,Iammers,,,,,,
Champion,Unspecified,Ian,,,,,,
Winner’s Cup,Paper Cup,Ian,,,,,,
Champion,Apathy,Ienpw III,,,,,,
Badge,Badge of the Great Agoran Revival,Ienpw III,2017,5,,,,
Champion,High Score,Jason,,,,,,
Champion,Renaissance,Jason,,,,,,
Champion,Renaissance,Jason,2021,6,29,,,
Champion,Rulebending,Jason,,,,,,
Champion,Spaaace,Jason,,,,1000,,
Champion,Tournament,Jason,,,,,,
Champion,Tournament,Jason,,,,,,
Service Award,Three Months,Jason,,,,,,
Service Award,Six Months,Jason,,,,,,
Service Award,Nine Months,Jason,,,,,,
Service Award,Twelve Months,Jason,,,,,,
Degree,Magisteriate of Nomic,Jason,,,,,,
Degree,Doctorate of Nomic Science,Jason,,,,,,
Badge,Badge of Diplonomic,Jason,2020,,,,,
Other,Hard Labor,Jason,,,,,Assessor and Rulekeepor,
Other,Popular,Jason,,,,,,
Other,Roboticist General,Jason,,,,,,
Other,Rulebender,Jason,,,,,,
Other,Very Popular,Jason,,,,,,
Champion,Unspecified,Jeffrey,,,,,,
Winner’s Cup,Paper Cup,Jeffrey,,,,,,
Champion,Champion*(11/6),Kelly,,,,,,
Champion,Champion*(3/2),Kelly,,,,,,
Champion,Champion*(4/3),Kelly,,,,,,
Champion,Champion*(5/3),Kelly,,,,,,
Champion,Champion*(7/6),Kelly,,,,,,
Other,Left in a Huff,Kelly,,,,,,
Other,Left in a Huff,Kelly,,,,,,
Other,Left in a Huff,Kelly,,,,,,
Frozen Ephemera,Honorless Worm,Kelly,,,,,,
Badge,Badge of the Salted Earth ,Kenyon,2018,,,,,
Badge,Order of the Lemming,Khoyo,2014,1,,,,
Champion,Champion*(4/3),KoJen,,,,,,
Champion,Champion*(7/6),KoJen,,,,,,
Champion,Unspecified,KoJen,,,,,,
Other,Left in a Huff,KoJen,,,,,,
Winner’s Cup,Glass Cup,KoJen,,,,,,
Degree,Baccalaureate of Nomic,Kolja A.,,,,,,
Champion,High Score,Levi,,,,,,
Other,Boor,Macross,,,,,,
Fugitive,Fugitive,Macross,,,,,,
Fugitive,Fugitive,Magu,,,,,,
Badge,Coming of Age,Math321,2011,7,,,,
Other,Bard,Maud,,,,,,
Badge,Order of the Lemming,Max Schutz,2014,1,,,,
Champion,Unspecified,Michael,,,,,,
Service Award,Three Months,Michael,,,,,,
Service Award,Six Months,Michael,,,,,,
Service Award,Nine Months,Michael,,,,,,
Service Award,Twelve Months,Michael,,,,,,
Badge,Agora XX,Michael,2013,7,,,,
Other,Elder Lurker,Michael,,,,,,
Winner’s Cup,Paper Cup,Michael,,,,,,
Frozen Ephemera,Samurai,Michael,,,,,,
Frozen Ephemera,Shogun,Michael,,,,,,
Hero,Grand Hero,Michael Norrish,,,,,,
Champion,Champion*(7/6),Morendil,,,,,,
Champion,Proposal,Morendil,,,,,,
Winner’s Cup,Crystal Cup,Morendil,,,,,,
Fugitive,Fugitive,Morendil,,,,,,
Champion,Apathy,Murphy,,,,,,
Champion,Cards,Murphy,,,,,,
Champion,High Score,Murphy,,,,,,
Champion,High Score,Murphy,,,,,,
Champion,High Score,Murphy,,,,,,
Champion,Paradox,Murphy,,,,,,
Champion,Proposal,Murphy,,,,,,
Champion,Renaissance,Murphy,,,,,,
Service Award,Three Months,Murphy,,,,,,
Service Award,Six Months,Murphy,,,,,,
Service Award,Nine Months,Murphy,,,,,,
Service Award,Twelve Months,Murphy,,,,,,
Badge,Coming of Age,Murphy,2011,7,,,,
Hero,Hero,Murphy,,,,,,
Degree,Baccalaureate of Nomic,Murphy,,,,,,
Badge,Agora XX,Murphy,2013,7,,,,
Badge,Order of the Lemming,Murphy,2014,1,,,,
Badge,Badge of the Great Agoran Revival,Murphy,2017,5,,,,
Badge,Badge of the Salted Earth ,Murphy,2018,,,,,
Other,Bard,Murphy,,,,,,
Other,Boor,Murphy,,,,,,
Other,Cassandra,Murphy,,,,,,
Other,Fantasy Rule Creator,Murphy,,,,,,
Other,Heroic Notary,Murphy,,,,,,
Other,Popular,Murphy,,,,,,
Other,Rulebender,Murphy,,,,,,
Other,Scamster,Murphy,,,,,,
Other,273rd Prepared Piano,Murphy,,,,,,
Winner’s Cup,Paper Cup,Murphy,,,,,,
Frozen Ephemera,Samurai,Murphy,,,,,,
Fugitive,Fugitive,neil,,,,,,
Champion,Apathy,nix,,,,,,
Champion,Junta,nix,,,,,,
Champion,Rulebending,nix,,,,,,
Service Award,Three Months,nix,,,,,,
Badge,Order of the Lemming,nix,2014,1,,,,
Badge,Badge of the Great Agoran Revival,nix,2017,5,,,,
Other,Rulebender,nix,,,,,,
Silver Quill,Silver Quill,nix,2020,,,,P8408,
Champion,Apathy,o,,,,,,
Badge,Badge of the Great Agoran Revival,o,2017,5,,,,
Badge,Badge of the Salted Earth ,o,2018,,,,,
Champion,Apathy,omd,,,,,,
Champion,Escape,omd,,,,,,
Champion,High Score,omd,,,,,,
Champion,High Score,omd,,,,,,
Champion,High Score,omd,,,,,,
Champion,High Score,omd,,,,,,
Champion,Junta,omd,,,,,,
Champion,Junta,omd,,,,,,
Champion,Lotto,omd,,,,,,
Champion,Musicianship,omd,,,,,,
Champion,Paradox,omd,,,,,,
Champion,Proposal,omd,,,,,,
Champion,Proposal,omd,,,,,,
Champion,Solitude,omd,,,,,,
Service Award,Three Months,omd,,,,,,
Service Award,Six Months,omd,,,,,,
Service Award,Nine Months,omd,,,,,,
Service Award,Twelve Months,omd,,,,,,
Badge,Coming of Age,omd,2011,7,,,,
Hero,Hero,omd,,,,,,
Badge,Agora XX,omd,2013,7,,,,
Badge,Order of the Lemming,omd,2014,1,,,,
Badge,Badge of Diplonomic,omd,2020,,,,,
Other,Distributor,omd,,,,,,
Other,Rulebender,omd,,,,,,
Other,Scamster,omd,,,,,,
Other,Sorcerer’s Apprentice,omd,,,,,,
Champion,Unspecified,Ørjan,,,,,,
Badge,Agora XX,Ørjan,2013,7,,,,
Badge,Badge of the Great Agoran Revival,Ørjan,2017,5,,,,
Other,Exorcist,Ørjan,,,,,,
Winner’s Cup,Paper Cup,Ørjan,,,,,,
Champion,Cards,OscarMeyr,,,,,,
Champion,Junta,OscarMeyr,,,,,,
Champion,Tournament,OscarMeyr,,,,,,
Service Award,Three Months,OscarMeyr,,,,,,
Service Award,Six Months,OscarMeyr,,,,,,
Service Award,Nine Months,OscarMeyr,,,,,,
Service Award,Twelve Months,OscarMeyr,,,,,,
Badge,Order of the Lemming,OscarMeyr,2014,1,,,,
Other,Scamster,OscarMeyr,,,,,,
Other,Left in a Huff,P1-P100,,,,,,
Frozen Ephemera,Miscreant,Pakaran,,,,,,
Fugitive,Fugitive,Pakaran,,,,,,
Champion,High Score,Pavitra,,,,,,
Badge,Coming of Age,Pavitra,2011,7,,,,
Other,Maniac,Peekee,,,,,,
Fugitive,Fugitive,Peekee,,,,,,
Service Award,Three Months,PerlNomic Partnership,,,,,,
Service Award,Six Months,PerlNomic Partnership,,,,,,
Other,Fantasy Rule Catalyst,Peter,,,,,,
Hero,Grand Hero,Peter Suber,,,,,,
Other,Agoran Spy,pikhq,,,,,,
Fugitive,Fugitive,Proglet,,,,,,
Fugitive,Fugitive,pTang,,,,,,
Champion,Apathy,Publius Scribonius Scholasticus,,,,,,
Champion,Tournament,Publius Scribonius Scholasticus,,,,,,
Service Award,Three Months,Publius Scribonius Scholasticus,,,,,,
Badge,Badge of the Great Agoran Revival,Publius Scribonius Scholasticus,2017,5,,,,
Badge,Badge of the Salted Earth ,Publius Scribonius Scholasticus,2018,,,,,
Badge,Badge of Diplonomic,Publius Scribonius Scholasticus,2020,,,,,
Other,Hard Labor,Publius Scribonius Scholasticus,,,,,"Referee, Tailor, and Herald",
Other,Rulebender,Publius Scribonius Scholasticus,,,,,,
Champion,Apathy,Quazie,,,,,,
Badge,Badge of the Great Agoran Revival,Quazie,2017,5,,,,
Badge,Badge of the Salted Earth ,Quazie,2018,,,,,
Fugitive,Fugitive,Quazie,,,,,,
Champion,Apathy,R. Lee,,,,,,
Champion,Gauntlet,R. Lee,2021,8,30,,,
Champion,Paradox,R. Lee,2021,8,5,,,
Badge,Badge of the Salted Earth ,R. Lee,2018,,,,,
Badge,Badge of Diplonomic,R. Lee,2020,,,,,
Other,Money Launderer,R. Lee,,,,,,
Other,Rulebender,R. Lee,,,,,,
Champion,Cards,root,,,,,,
Champion,High Score,root,,,,,,
Champion,Maniac,root,,,,,,
Champion,Paradox,root,,,,,,
Champion,Tournament,root,,,,,,
Service Award,Three Months,root,,,,,,
Service Award,Six Months,root,,,,,,
Service Award,Nine Months,root,,,,,,
Service Award,Twelve Months,root,,,,,,
Badge,Coming of Age,root,,,,,,
Other,Maniac,root,,,,,,
Other,Scamster,root,,,,,,
Fugitive,Fugitive,root,,,,,,
Badge,Coming of Age,Roujo,2011,7,,,,
Badge,Agora XX,Roujo,2013,7,,,,
Badge,Order of the Lemming,Roujo,2014,1,,,,
Badge,Badge of the Great Agoran Revival,Roujo,2017,5,,,,
Service Award,Three Months,Sgeo,,,,,,
Service Award,Three Months,Sherlock,,,,,,
Service Award,Six Months,Sherlock,,,,,,
Other,Bard,Sherlock,,,,,,
Other,Boor,Sherlock,,,,,,
Champion,Proposal,Spitemaster,,,,,,
Champion,Apathy,Sprocklem,,,,,,
Badge,Order of the Lemming,Sprocklem,2014,1,,,,
Badge,Badge of the Great Agoran Revival,Sprocklem,2017,5,,,,
Champion,Champion*(3/2),Steve,,,,,,
Champion,Champion*(4/3),Steve,,,,,,
Champion,Champion*(5/3),Steve,,,,,,
Champion,Champion*(7/6),Steve,,,,,,
Champion,High Score,Steve,,,,,,
Champion,Proposal,Steve,,,,,,
Champion,Proposal,Steve,,,,,,
Champion,Proposal,Steve,,,,,,
Champion,Unspecified,Steve,,,,,,
Degree,Baccalaureate of Nomic,Steve,,,,,,
Degree,Doctorate of Nomic Philosophy,Steve,,,,,,
Badge,Agora XX,Steve,2013,7,,,,
Other,Distributor,Steve,,,,,,
Other,Scamster,Steve,,,,,,
Winner’s Cup,Ruby Cup,Steve,,,,,,
Champion,Champion*(7/6),Swann,,,,,,
Champion,Unspecified,Swann,,,,,,
Degree,Doctorate of Nomic History,Swann,,,,,,
Other,Left in a Huff,Swann,,,,,,
Other,Nomic Thief,Swann,,,,,,
Winner’s Cup,Glass Cup,Swann,,,,,,
Fugitive,Fugitive,Syllepsis,,,,,,
Champion,Unspecified,t,,,,,,
Fugitive,Fugitive,t,,,,,,
Champion,Cards,Taral,,,,,,
Champion,Tournament,Taral,,,,,,
Service Award,Three Months,Taral,,,,,,
Other,Distributor,Taral,,,,,,
Frozen Ephemera,Current Champion,Taral,,,,,,
Badge,Order of the Lemming,Telnaior,2014,1,,,,
Other,Left in a Huff,Telnaior,,,,,,
Other,Tiger Team,Telnaior,,,,,,
Champion,Junta,the AFO,,,,,,
Service Award,Three Months,the AFO,,,,,,
Champion,Via Ratification,The President,,,,,,
Badge,Coming of Age,The President,2011,7,,,,
Champion,High Score,Tiger,,,,,,
Champion,Musicianship,Tiger,,,,,,
Champion,Proposal,Tiger,,,,,,
Service Award,Three Months,Tiger,,,,,,
Badge,Agora XX,Tiger,2013,7,,,,
Badge,Order of the Lemming,Tiger,2014,1,,,,
Fugitive,Fugitive,Time Agent,,,,,,
Champion,Unspecified,Timothy,,,,,,
Winner’s Cup,Paper Cup,Timothy,,,,,,
Champion,Apathy,tmanthe2nd,,,,,,
Badge,Badge of the Great Agoran Revival,tmanthe2nd,2017,5,,,,
Champion,High Score,Trigon,,,,,,
Champion,Proposal,Trigon,,,,,,
Service Award,Three Months,Trigon,,,,,,
Service Award,Six Months,Trigon,,,,,,
Service Award,Nine Months,Trigon,,,,,,
Service Award,Twelve Months,Trigon,,,,,,
Badge,Badge of the Salted Earth ,Trigon,2018,,,,,
Badge,Badge of Diplonomic,Trigon,2020,,,,,
Other,Popular,Trigon,,,,,,
Other,Popular Polygon,Trigon,,,,,,
Other,Reformist Bug,Trigon,,,,,,
Other,Rulebender,Trigon,,,,,,
Other,Very Popular,Trigon,,,,,,
Champion,Champion*(4/3),Troublemaker at Large,,,,,,
Champion,Champion*(7/6),Troublemaker at Large,,,,,,
Champion,Unspecified,Troublemaker at Large,,,,,,
Other,Scamster,Troublemaker at Large,,,,,,
Winner’s Cup,Glass Cup,Troublemaker at Large,,,,,,
Badge,Coming of Age,Turiski,2011,7,,,,
Champion,Apathy,twg,,,,,,
Champion,High Score,twg,,,,,,
Champion,High Score,twg,,,,,,
Champion,Proposal,twg,,,,,,
Champion,Renaissance,twg,,,,,,
Degree,Associate of Nomic,twg,,,,,,
Badge,Badge of the Salted Earth ,twg,2018,,,,,
Other,Helping Hand,twg,,,,,,
Other,Orator,twg,,,,,,
Other,Rulebender,twg,,,,,,
Champion,Unspecified,Vanyel,,,,,,
Champion,Unspecified,Vanyel,,,,,,
Degree,Baccalaureate of Nomic,Vanyel,,,,,,
Winner’s Cup,Paper Cup,Vanyel,,,,,,
Champion,Apathy,Veggiekeks,,,,,,
Badge,Badge of the Great Agoran Revival,Veggiekeks,2017,5,,,,
Degree,Doctorate of Nomic History,Vlad,,,,,,
Other,Historian,Vlad,,,,,,
Other,Left in a Huff,Vlad,,,,,,
Fugitive,Fugitive,Vlad,,,,,,
Other,Left in a Huff,Waggie,,,,,,
Other,Scamster,Waggie,,,,,,
Champion,High Score,Walker,,,,,,
Badge,Coming of Age,Walker,2011,7,,,,
Badge,Agora XX,Walker,2013,7,,,,
Champion,Apathy,Warrigal,,,,,,
Badge,Coming of Age,Warrigal,2011,7,,,,
Champion,Champion*(4/3),Wes,,,,,,
Champion,Unspecified,Wes,,,,,,
Champion,Unspecified,Wes,,,,,,
Winner’s Cup,Glass Cup,Wes,,,,,,
Champion,Proposal,woggle,,,,,,
Service Award,Three Months,woggle,,,,,,
Service Award,Six Months,woggle,,,,,,
Service Award,Nine Months,woggle,,,,,,
Badge,Coming of Age,woggle,2011,7,,,,
Badge,Agora XX,woggle,2013,7,,,,
Badge,Order of the Lemming,woggle,2014,1,,,,
Champion,High Score,Wooble,,,,,,
Champion,Musicianship,Wooble,,,,,,
Champion,Tournament,Wooble,,,,,,
Service Award,Three Months,Wooble,,,,,,
Service Award,Six Months,Wooble,,,,,,
Service Award,Nine Months,Wooble,,,,,,
Service Award,Twelve Months,Wooble,,,,,,
Badge,Order of the Lemming,Wooble,2014,1,,,,
Other,Commuted in a Huff,Wooble,,,,,,
Other,Simon Said,Wooble,,,,,,
Champion,Proposal,Yally,,,,,,
Service Award,Three Months,Yally,,,,,,
Service Award,Six Months,Yally,,,,,,
Badge,Coming of Age,Yally,2011,7,,,,
Badge,Agora XX,Yally,2013,7,,,,
Badge,Order of the Lemming,Yally,2014,1,,,,
Champion,Musicianship,Zefram,,,,,,
Service Award,Three Months,Zefram,,,,,,
Service Award,Six Months,Zefram,,,,,,
Service Award,Nine Months,Zefram,,,,,,
Service Award,Twelve Months,Zefram,,,,,,
Other,Fantasy Rule Compulsion,Zefram,,,,,,
Other,Left in a Huff,Zefram,,,,,,
Fugitive,Fugitive,Ziggy,,,,,,
Champion,Apathy,天火狐,,,,,,
Badge,Badge of the Great Agoran Revival,天火狐,2017,5,,,,
Other,Bard,天火狐,,,,,,
Fugitive,Fugitive,,,,,,,
